release_year,album,title,lyrics
1964,The Times They Are A-Changin',When the Ship Comes in,"oh the time will come up
 
 when the winds will stop
 
 and the breeze will cease to be breathin’
 
 like the stillness in the wind
 
 ’fore the hurricane begins
 
 the hour when the ship comes in
 
 
 
 oh the seas will split
 
 and the ship will hit
 
 and the sands on the shoreline will be shaking
 
 then the tide will sound
 
 and the wind will pound
 
 and the morning will be breaking
 
 
 
 oh the fishes will laugh
 
 as they swim out of the path
 
 and the seagulls they’ll be smiling
 
 and the rocks on the sand
 
 will proudly stand
 
 the hour that the ship comes in
 
 
 
 and the words that are used
 
 for to get the ship confused
 
 will not be understood as they’re spoken
 
 for the chains of the sea
 
 will have busted in the night
 
 and will be buried at the bottom of the ocean
 
 
 
 a song will lift
 
 as the mainsail shifts
 
 and the boat drifts on to the shoreline
 
 and the sun will respect
 
 every face on the deck
 
 the hour that the ship comes in
 
 
 
 then the sands will roll
 
 out a carpet of gold
 
 for your weary toes to be a-touchin’
 
 and the ship’s wise men
 
 will remind you once again
 
 that the whole wide world is watchin’
 
 
 
 oh the foes will rise
 
 with the sleep still in their eyes
 
 and they’ll jerk from their beds and think they’re dreamin’
 
 but they’ll pinch themselves and squeal
 
 and know that it’s for real
 
 the hour when the ship comes in
 
 
 
 then they’ll raise their hands
 
 sayin’ we’ll meet all your demands
 
 but we’ll shout from the bow your days are numbered
 
 and like pharoah’s tribe
 
 they’ll be drownded in the tide
 
 and like goliath, they’ll be conquered"
1964,The Times They Are A-Changin',Ballad of Hollis Brown,"hollis brown
 
 he lived on the outside of town
 
 hollis brown
 
 he lived on the outside of town
 
 with his wife and five children
 
 and his cabin fallin’ down
 
 
 
 you looked for work and money
 
 and you walked a rugged mile
 
 you looked for work and money
 
 and you walked a rugged mile
 
 your children are so hungry
 
 that they don’t know how to smile
 
 
 
 your baby’s eyes look crazy
 
 they’re a-tuggin’ at your sleeve
 
 your baby’s eyes look crazy
 
 they’re a-tuggin’ at your sleeve
 
 you walk the floor and wonder why
 
 with every breath you breathe
 
 
 
 the rats have got your flour
 
 bad blood it got your mare
 
 the rats have got your flour
 
 bad blood it got your mare
 
 if there’s anyone that knows
 
 is there anyone that cares
 
 
 
 you prayed to the lord above
 
 oh please send you a friend
 
 you prayed to the lord above
 
 oh please send you a friend
 
 your empty pockets tell yuh
 
 that you ain’t a-got no friend
 
 
 
 your babies are crying louder
 
 it’s pounding on your brain
 
 your babies are crying louder now
 
 it’s pounding on your brain
 
 your wife’s screams are stabbin’ you
 
 like the dirty drivin’ rain
 
 
 
 your grass it is turning black
 
 there’s no water in your well
 
 your grass is turning black
 
 there’s no water in your well
 
 you spent your last lone dollar
 
 on seven shotgun shells
 
 
 
 way out in the wilderness
 
 a cold coyote calls
 
 way out in the wilderness
 
 a cold coyote calls
 
 your eyes fix on the shotgun
 
 that’s hangin’ on the wall
 
 
 
 your brain is a-bleedin’
 
 and your legs can’t seem to stand
 
 your brain is a-bleedin’
 
 and your legs can’t seem to stand
 
 your eyes fix on the shotgun
 
 that you’re holdin’ in your hand
 
 
 
 there’s seven breezes a-blowin’
 
 all around the cabin door
 
 there’s seven breezes a-blowin’
 
 all around the cabin door
 
 seven shots ring out
 
 like the ocean’s pounding roar
 
 
 
 there’s seven people dead
 
 on a south dakota farm
 
 there’s seven people dead
 
 on a south dakota farm
 
 somewhere in the distance
 
 there’s seven new people born"
1964,Another Side of Bob Dylan,"It Ain't Me, Babe","go ’way from my window
 
 leave at your own chosen speed
 
 i’m not the one you want, babe
 
 i’m not the one you need
 
 you say you’re lookin’ for someone
 
 never weak but always strong
 
 to protect you an’ defend you
 
 whether you are right or wrong
 
 someone to open each and every door
 
 but it ain’t me, babe
 
 no, no, no, it ain’t me, babe
 
 it ain’t me you’re lookin’ for, babe
 
 
 
 go lightly from the ledge, babe
 
 go lightly on the ground
 
 i’m not the one you want, babe
 
 i will only let you down
 
 you say you’re lookin’ for someone
 
 who will promise never to part
 
 someone to close his eyes for you
 
 someone to close his heart
 
 someone who will die for you an’ more
 
 but it ain’t me, babe
 
 no, no, no, it ain’t me, babe
 
 it ain’t me you’re lookin’ for, babe
 
 
 
 go melt back into the night, babe
 
 everything inside is made of stone
 
 there’s nothing in here moving
 
 an’ anyway i’m not alone
 
 you say you’re lookin' for someone
 
 who’ll pick you up each time you fall
 
 to gather flowers constantly
 
 an’ to come each time you call
 
 a lover for your life an’ nothing more
 
 but it ain’t me, babe
 
 no, no, no, it ain’t me, babe
 
 it ain’t me you’re lookin’ for, babe"
1964,Another Side of Bob Dylan,Chimes of Freedom,"far between sundown’s finish an’ midnight’s broken toll
 
 we ducked inside the doorway, thunder crashing
 
 as majestic bells of bolts struck shadows in the sounds
 
 seeming to be the chimes of freedom flashing
 
 flashing for the warriors whose strength is not to fight
 
 flashing for the refugees on the unarmed road of flight
 
 an’ for each an’ ev’ry underdog soldier in the night
 
 an’ we gazed upon the chimes of freedom flashing
 
 
 
 in the city’s melted furnace, unexpectedly we watched
 
 with faces hidden while the walls were tightening
 
 as the echo of the wedding bells before the blowin’ rain
 
 dissolved into the bells of the lightning
 
 tolling for the rebel, tolling for the rake
 
 tolling for the luckless, the abandoned an’ forsaked
 
 tolling for the outcast, burnin’ constantly at stake
 
 an’ we gazed upon the chimes of freedom flashing
 
 
 
 through the mad mystic hammering of the wild ripping hail
 
 the sky cracked its poems in naked wonder
 
 that the clinging of the church bells blew far into the breeze
 
 leaving only bells of lightning and its thunder
 
 striking for the gentle, striking for the kind
 
 striking for the guardians and protectors of the mind
 
 an’ the unpawned painter behind beyond his rightful time
 
 an’ we gazed upon the chimes of freedom flashing
 
 
 
 through the wild cathedral evening the rain unraveled tales
 
 for the disrobed faceless forms of no position
 
 tolling for the tongues with no place to bring their thoughts
 
 all down in taken-for-granted situations
 
 tolling for the deaf an’ blind, tolling for the mute
 
 tolling for the mistreated, mateless mother, the mistitled prostitute
 
 for the misdemeanor outlaw, chased an’ cheated by pursuit
 
 an’ we gazed upon the chimes of freedom flashing
 
 
 
 even though a cloud’s white curtain in a far-off corner flashed
 
 an’ the hypnotic splattered mist was slowly lifting
 
 electric light still struck like arrows, fired but for the ones
 
 condemned to drift or else be kept from drifting
 
 tolling for the searching ones, on their speechless, seeking trail
 
 for the lonesome-hearted lovers with too personal a tale
 
 an’ for each unharmful, gentle soul misplaced inside a jail
 
 an’ we gazed upon the chimes of freedom flashing
 
 
 
 starry-eyed an’ laughing as i recall when we were caught
 
 trapped by no track of hours for they hanged suspended
 
 as we listened one last time an’ we watched with one last look
 
 spellbound an’ swallowed ’til the tolling ended
 
 tolling for the aching ones whose wounds cannot be nursed
 
 for the countless confused, accused, misused, strung-out ones an’ worse
 
 an’ for every hung-up person in the whole wide universe
 
 an’ we gazed upon the chimes of freedom flashing"
1964,The Times They Are A-Changin',Restless Farewell,"oh all the money that in my whole life i did spend
 
 be it mine right or wrongfully
 
 i let it slip gladly past the hands of my friends
 
 to tie up the time most forcefully
 
 but the bottles are done
 
 we’ve killed each one
 
 and the table’s full and overflowed
 
 and the corner sign
 
 says it’s closing time
 
 so i’ll bid farewell and be down the road
 
 
 
 oh ev’ry girl that ever i’ve touched
 
 i did not do it harmfully
 
 and ev’ry girl that ever i’ve hurt
 
 i did not do it knowin’ly
 
 but to remain as friends
 
 and make amends
 
 you need the time and stay behind
 
 and since my feet are now fast
 
 and point away from the past
 
 i’ll bid farewell and be down the line
 
 
 
 oh ev’ry foe that ever i faced
 
 the cause was there before we came
 
 and ev’ry cause that ever i fought
 
 i fought it full without regret or shame
 
 but the dark does die
 
 as the curtain is drawn and somebody’s eyes
 
 must meet the dawn
 
 and if i see the day
 
 i’d only have to stay
 
 so i’ll bid farewell in the night and be gone
 
 
 
 oh, ev’ry thought that’s strung a knot in my mind
 
 i might go insane if it couldn’t be sprung
 
 but it’s not to stand naked under unknowin’ eyes
 
 it’s for myself and my friends my stories are sung
 
 but the time ain’t tall, yet on time you depend
 
 and no word is possessed by no special friend
 
 and though the line is cut
 
 it ain’t quite the end
 
 i’ll just bid farewell till we meet again
 
 
 
 oh a false clock tries to tick out my time
 
 to disgrace, distract, and bother me
 
 and the dirt of gossip blows into my face
 
 and the dust of rumors covers me
 
 but if the arrow is straight
 
 and the point is slick
 
 it can pierce through dust no matter how thick
 
 so i’ll make my stand
 
 and remain as i am
 
 and bid farewell and not give a damn"
1964,Another Side of Bob Dylan,Black Crow Blues,"i woke in the mornin’, wand’rin’
 
 wasted and worn out
 
 i woke in the mornin’, wand’rin’
 
 wasted and worn out
 
 wishin’ my long-lost lover
 
 will walk to me, talk to me
 
 tell me what it’s all about
 
 
 
 i was standin’ at the side road
 
 listenin’ to the billboard knock
 
 standin’ at the side road
 
 listenin’ to the billboard knock
 
 well, my wrist was empty
 
 but my nerves were kickin’
 
 tickin’ like a clock
 
 
 
 if i got anything you need, babe
 
 let me tell you in front
 
 if i got anything you need, babe
 
 let me tell you in front
 
 you can come to me sometime
 
 night time, day time
 
 any time you want
 
 
 
 sometimes i’m thinkin’ i’m
 
 too high to fall
 
 sometimes i’m thinkin’ i’m
 
 too high to fall
 
 other times i’m thinkin’ i’m
 
 so low i don’t know
 
 if i can come up at all
 
 
 
 black crows in the meadow
 
 across a broad highway
 
 black crows in the meadow
 
 across a broad highway
 
 though it’s funny, honey
 
 i just don’t feel much like a
 
 scarecrow today"
1964,Another Side of Bob Dylan,Spanish Harlem Incident,"gypsy gal, the hands of harlem
 
 cannot hold you to its heat
 
 your temperature’s too hot for taming
 
 your flaming feet burn up the street
 
 i am homeless, come and take me
 
 into reach of your rattling drums
 
 let me know, babe, about my fortune
 
 down along my restless palms
 
 
 
 gypsy gal, you got me swallowed
 
 i have fallen far beneath
 
 your pearly eyes, so fast an’ slashing
 
 an’ your flashing diamond teeth
 
 the night is pitch black, come an’ make my
 
 pale face fit into place, ah, please
 
 let me know, babe, i’m nearly drowning
 
 if it’s you my lifelines trace
 
 
 
 i been wond’rin’ all about me
 
 ever since i seen you there
 
 on the cliffs of your wildcat charms i’m riding
 
 i know i’m ’round you but i don’t know where
 
 you have slayed me, you have made me
 
 i got to laugh halfways off my heels
 
 i got to know, babe, will you surround me
 
 so i can tell if i’m really real"
1964,Another Side of Bob Dylan,Ballad in Plain D,"i once loved a girl, her skin it was bronze
 
 with the innocence of a lamb, she was gentle like a fawn
 
 i courted her proudly but now she is gone
 
 gone as the season she’s taken
 
 
 
 through young summer’s breeze, i stole her away
 
 from her mother and sister, though close did they stay
 
 each one of them suffering from the failures of their day
 
 with strings of guilt they tried hard to guide us
 
 
 
 of the two sisters, i loved the young
 
 with sensitive instincts, she was the creative one
 
 the constant scapegoat, she was easily undone
 
 by the jealousy of others around her
 
 
 
 for her parasite sister, i had no respect
 
 bound by her boredom, her pride to protect
 
 countless visions of the other she’d reflect
 
 as a crutch for her scenes and her society
 
 
 
 myself, for what i did, i cannot be excused
 
 the changes i was going through can’t even be used
 
 for the lies that i told her in hopes not to lose
 
 the could-be dream-lover of my lifetime
 
 
 
 with unknown consciousness, i possessed in my grip
 
 a magnificent mantelpiece, though its heart being chipped
 
 noticing not that i’d already slipped
 
 to a sin of love’s false security
 
 
 
 from silhouetted anger to manufactured peace
 
 answers of emptiness, voice vacancies
 
 till the tombstones of damage read me no questions but, “please
 
 what’s wrong and what’s exactly the matter”
 
 
 
 and so it did happen like it could have been foreseen
 
 the timeless explosion of fantasy’s dream
 
 at the peak of the night, the king and the queen
 
 tumbled all down into pieces
 
 
 
 “the tragic figure” her sister did shout
 
 “leave her alone, god damn you, get out”
 
 and i in my armor, turning about
 
 and nailing her to the ruins of her pettiness
 
 
 
 beneath a bare lightbulb the plaster did pound
 
 her sister and i in a screaming battleground
 
 and she in between, the victim of sound
 
 soon shattered as a child ’neath her shadows
 
 
 
 all is gone, all is gone, admit it, take flight
 
 i gagged twice, doubled, tears blinding my sight
 
 my mind it was mangled, i ran into the night
 
 leaving all of love’s ashes behind me
 
 
 
 the wind knocks my window, the room it is wet
 
 the words to say i’m sorry, i haven’t found yet
 
 i think of her often and hope whoever she’s met
 
 will be fully aware of how precious she is
 
 
 
 ah, my friends from the prison, they ask unto me
 
 “how good, how good does it feel to be free”
 
 and i answer them most mysteriously
 
 “are birds free from the chains of the skyway”"
1964,Another Side of Bob Dylan,I Shall Be Free No. 10,"i’m just average, common too
 
 i’m just like him, the same as you
 
 i’m everybody’s brother and son
 
 i ain’t different from anyone
 
 it ain’t no use a-talking to me
 
 it’s just the same as talking to you
 
 
 
 i was shadow-boxing earlier in the day
 
 i figured i was ready for cassius clay
 
 i said “fee, fie, fo, fum, cassius clay, here i come
 
 26, 27, 28, 29, i’m gonna make your face look just like mine
 
 five, four, three, two, one, cassius clay you’d better run
 
 99, 100, 101, 102, your ma won’t even recognize you
 
 14, 15, 16, 17, 18, 19, gonna knock him clean right out of his spleen”
 
 
 
 well, i don’t know, but i’ve been told
 
 the streets in heaven are lined with gold
 
 i ask you how things could get much worse
 
 if the russians happen to get up there first
 
 wowee pretty scary
 
 
 
 now, i’m liberal, but to a degree
 
 i want ev’rybody to be free
 
 but if you think that i’ll let barry goldwater
 
 move in next door and marry my daughter
 
 you must think i’m crazy
 
 i wouldn’t let him do it for all the farms in cuba
 
 
 
 well, i set my monkey on the log
 
 and ordered him to do the dog
 
 he wagged his tail and shook his head
 
 and he went and did the cat instead
 
 he’s a weird monkey, very funky
 
 
 
 i sat with my high-heeled sneakers on
 
 waiting to play tennis in the noonday sun
 
 i had my white shorts rolled up past my waist
 
 and my wig-hat was falling in my face
 
 but they wouldn’t let me on the tennis court
 
 
 
 i got a woman, she’s so mean
 
 she sticks my boots in the washing machine
 
 sticks me with buckshot when i’m nude
 
 puts bubblegum in my food
 
 she’s funny, wants my money, calls me “honey”
 
 
 
 now i got a friend who spends his life
 
 stabbing my picture with a bowie knife
 
 dreams of strangling me with a scarf
 
 when my name comes up he pretends to barf
 
 i’ve got a million friends
 
 
 
 now they asked me to read a poem
 
 at the sorority sisters’ home
 
 i got knocked down and my head was swimmin’
 
 i wound up with the dean of women
 
 yippee i’m a poet, and i know it
 
 hope i don’t blow it
 
 
 
 i’m gonna grow my hair down to my feet so strange
 
 so i look like a walking mountain range
 
 and i’m gonna ride into omaha on a horse
 
 out to the country club and the golf course
 
 carry the new york times, shoot a few holes, blow their minds
 
 
 
 now you’re probably wondering by now
 
 just what this song is all about
 
 what’s probably got you baffled more
 
 is what this thing here is for
 
 it’s nothing
 
 it’s something i learned over in england"
1964,Another Side of Bob Dylan,To Ramona,"ramona
 
 come closer
 
 shut softly your watery eyes
 
 the pangs of your sadness
 
 shall pass as your senses will rise
 
 the flowers of the city
 
 though breathlike
 
 get deathlike at times
 
 and there’s no use in tryin’
 
 t’ deal with the dyin’
 
 though i cannot explain that in lines
 
 
 
 your cracked country lips
 
 i still wish to kiss
 
 as to be under the strength of your skin
 
 your magnetic movements
 
 still capture the minutes i’m in
 
 but it grieves my heart, love
 
 to see you tryin’ to be a part of
 
 a world that just don’t exist
 
 it’s all just a dream, babe
 
 a vacuum, a scheme, babe
 
 that sucks you into feelin’ like this
 
 
 
 i can see that your head
 
 has been twisted and fed
 
 by worthless foam from the mouth
 
 i can tell you are torn
 
 between stayin’ and returnin’
 
 on back to the south
 
 you’ve been fooled into thinking
 
 that the finishin’ end is at hand
 
 yet there’s no one to beat you
 
 no one t’ defeat you
 
 ’cept the thoughts of yourself feeling bad
 
 
 
 i’ve heard you say many times
 
 that you’re better ’n no one
 
 and no one is better ’n you
 
 if you really believe that
 
 you know you got
 
 nothing to win and nothing to lose
 
 from fixtures and forces and friends
 
 your sorrow does stem
 
 that hype you and type you
 
 making you feel
 
 that you must be exactly like them
 
 
 
 i’d forever talk to you
 
 but soon my words
 
 they would turn into a meaningless ring
 
 for deep in my heart
 
 i know there is no help i can bring
 
 everything passes
 
 everything changes
 
 just do what you think you should do
 
 and someday maybe
 
 who knows, baby
 
 i’ll come and be cryin’ to you"
1964,Another Side of Bob Dylan,Motorpsycho Nightmare,"i pounded on a farmhouse
 
 lookin’ for a place to stay
 
 i was mighty, mighty tired
 
 i had come a long, long way
 
 i said, “hey, hey, in there
 
 is there anybody home”
 
 i was standin’ on the steps
 
 feelin’ most alone
 
 well, out comes a farmer
 
 he must have thought that i was nuts
 
 he immediately looked at me
 
 and stuck a gun into my guts
 
 
 
 i fell down
 
 to my bended knees
 
 saying, “i dig farmers
 
 don’t shoot me, please”
 
 he cocked his rifle
 
 and began to shout
 
 “you’re that travelin’ salesman
 
 that i have heard about”
 
 i said, “no no no
 
 i’m a doctor and it’s true
 
 i’m a clean-cut kid
 
 and i been to college, too”
 
 
 
 then in comes his daughter
 
 whose name was rita
 
 she looked like she stepped out of
 
 la dolce vita
 
 i immediately tried to cool it
 
 with her dad
 
 and told him what a
 
 nice, pretty farm he had
 
 he said, “what do doctors
 
 know about farms, pray tell”
 
 i said, “i was born
 
 at the bottom of a wishing well”
 
 
 
 well, by the dirt ’neath my nails
 
 i guess he knew i wouldn’t lie
 
 “i guess you’re tired”
 
 he said, kinda sly
 
 i said, “yes, ten thousand miles
 
 today i drove”
 
 he said, “i got a bed for you
 
 underneath the stove
 
 just one condition
 
 and you go to sleep right now
 
 that you don’t touch my daughter
 
 and in the morning, milk the cow”
 
 
 
 i was sleepin’ like a rat
 
 when i heard something jerkin’
 
 there stood rita
 
 lookin’ just like tony perkins
 
 she said, “would you like to take a shower
 
 i’ll show you up to the door”
 
 i said, “oh, no no
 
 i’ve been through this before”
 
 i knew i had to split
 
 but i didn’t know how
 
 when she said
 
 “would you like to take that shower, now”
 
 
 
 well, i couldn’t leave
 
 unless the old man chased me out
 
 ’cause i’d already promised
 
 that i’d milk his cows
 
 i had to say something
 
 to strike him very weird
 
 so i yelled out
 
 “i like fidel castro and his beard”
 
 rita looked offended
 
 but she got out of the way
 
 as he came charging down the stairs
 
 sayin’, “what’s that i heard you say”
 
 
 
 i said, “i like fidel castro
 
 i think you heard me right”
 
 and ducked as he swung
 
 at me with all his might
 
 rita mumbled something
 
 ’bout her mother on the hill
 
 as his fist hit the icebox
 
 he said he’s going to kill me
 
 if i don’t get out the door
 
 in two seconds flat
 
 “you unpatriotic
 
 rotten doctor commie rat”
 
 
 
 well, he threw a reader’s digest
 
 at my head and i did run
 
 i did a somersault
 
 as i seen him get his gun
 
 and crashed through the window
 
 at a hundred miles an hour
 
 and landed fully blast
 
 in his garden flowers
 
 rita said, “come back”
 
 as he started to load
 
 the sun was comin’ up
 
 and i was runnin’ down the road
 
 
 
 well, i don’t figure i’ll be back
 
 there for a spell
 
 even though rita moved away
 
 and got a job in a motel
 
 he still waits for me
 
 constant, on the sly
 
 he wants to turn me in
 
 to the f.b.i.
 
 me, i romp and stomp
 
 thankful as i romp
 
 without freedom of speech
 
 i might be in the swamp"
1964,Another Side of Bob Dylan,I Don't Believe You (She Acts Like We Never Have Met),"i can’t understand
 
 she let go of my hand
 
 an’ left me here facing the wall
 
 i’d sure like t’ know
 
 why she did go
 
 but i can’t get close t’ her at all
 
 though we kissed through the wild blazing nighttime
 
 she said she would never forget
 
 but now mornin’s clear
 
 it’s like i ain’t here
 
 she just acts like we never have met
 
 
 
 it’s all new t’ me
 
 like some mystery
 
 it could even be like a myth
 
 yet it’s hard t’ think on
 
 that she’s the same one
 
 that last night i was with
 
 from darkness, dreams’re deserted
 
 am i still dreamin’ yet
 
 i wish she’d unlock
 
 her voice once an’ talk
 
 ’stead of acting like we never have met
 
 
 
 if she ain’t feelin’ well
 
 then why don’t she tell
 
 ’stead of turnin’ her back t’ my face
 
 without any doubt
 
 she seems too far out
 
 for me t’ return t’ her chase
 
 though the night ran swirling an’ whirling
 
 i remember her whispering yet
 
 but evidently she don’t
 
 an’ evidently she won’t
 
 she just acts like we never have met
 
 
 
 if i didn’t have t’ guess
 
 i’d gladly confess
 
 t’ anything i might’ve tried
 
 if i was with ’er too long
 
 or have done something wrong
 
 i wish she’d tell me what it is, i’ll run an’ hide
 
 though her skirt it swayed as a guitar played
 
 her mouth was watery and wet
 
 but now something has changed
 
 for she ain’t the same
 
 she just acts like we never have met
 
 
 
 i’m leavin’ today
 
 i’ll be on my way
 
 of this i can’t say very much
 
 but if you want me to
 
 i can be just like you
 
 an’ pretend that we never have touched
 
 an’ if anybody asks me
 
 “is it easy to forget”
 
 i’ll say, “it’s easily done
 
 you just pick anyone
 
 an’ pretend that you never have met”"
1964,The Times They Are A-Changin',The Times They Are A-Changin',"come gather ’round people
 
 wherever you roam
 
 and admit that the waters
 
 around you have grown
 
 and accept it that soon
 
 you’ll be drenched to the bone
 
 if your time to you is worth savin’
 
 then you better start swimmin’ or you’ll sink like a stone
 
 for the times they are a-changin’
 
 
 
 come writers and critics
 
 who prophesize with your pen
 
 and keep your eyes wide
 
 the chance won’t come again
 
 and don’t speak too soon
 
 for the wheel’s still in spin
 
 and there’s no tellin’ who that it’s namin’
 
 for the loser now will be later to win
 
 for the times they are a-changin’
 
 
 
 come senators, congressmen
 
 please heed the call
 
 don’t stand in the doorway
 
 don’t block up the hall
 
 for he that gets hurt
 
 will be he who has stalled
 
 there’s a battle outside and it is ragin’
 
 it’ll soon shake your windows and rattle your walls
 
 for the times they are a-changin’
 
 
 
 come mothers and fathers
 
 throughout the land
 
 and don’t criticize
 
 what you can’t understand
 
 your sons and your daughters
 
 are beyond your command
 
 your old road is rapidly agin’
 
 please get out of the new one if you can’t lend your hand
 
 for the times they are a-changin’
 
 
 
 the line it is drawn
 
 the curse it is cast
 
 the slow one now
 
 will later be fast
 
 as the present now
 
 will later be past
 
 the order is rapidly fadin’
 
 and the first one now will later be last
 
 for the times they are a-changin’"
1965,Highway 61 Revisited,Ballad Of a Thin Man,"you walk into the room
 
 with your pencil in your hand
 
 you see somebody naked
 
 and you say, “who is that man”
 
 you try so hard
 
 but you don’t understand
 
 just what you’ll say
 
 when you get home
 
 
 
 because something is happening here
 
 but you don’t know what it is
 
 do you, mister jones
 
 
 
 you raise up your head
 
 and you ask, “is this where it is”
 
 and somebody points to you and says
 
 “it’s his”
 
 and you say, “what’s mine”
 
 and somebody else says, “where what is”
 
 and you say, “oh my god
 
 am i here all alone”
 
 
 
 because something is happening here
 
 but you don’t know what it is
 
 do you, mister jones
 
 
 
 you hand in your ticket
 
 and you go watch the geek
 
 who immediately walks up to you
 
 when he hears you speak
 
 and says, “how does it feel
 
 to be such a freak”
 
 and you say, “impossible”
 
 as he hands you a bone
 
 
 
 because something is happening here
 
 but you don’t know what it is
 
 do you, mister jones
 
 
 
 you have many contacts
 
 among the lumberjacks
 
 to get you facts
 
 when someone attacks your imagination
 
 but nobody has any respect
 
 anyway they already expect you
 
 to just give a check
 
 to tax-deductible charity organizations
 
 
 
 you’ve been with the professors
 
 and they’ve all liked your looks
 
 with great lawyers you have
 
 discussed lepers and crooks
 
 you’ve been through all of
 
 f. scott fitzgerald’s books
 
 you’re very well read
 
 it’s well known
 
 
 
 because something is happening here
 
 but you don’t know what it is
 
 do you, mister jones
 
 
 
 well, the sword swallower, he comes up to you
 
 and then he kneels
 
 he crosses himself
 
 and then he clicks his high heels
 
 and without further notice
 
 he asks you how it feels
 
 and he says, “here is your throat back
 
 thanks for the loan”
 
 
 
 because something is happening here
 
 but you don’t know what it is
 
 do you, mister jones
 
 
 
 now you see this one-eyed midget
 
 shouting the word “now”
 
 and you say, “for what reason”
 
 and he says, “how”
 
 and you say, “what does this mean”
 
 and he screams back, “you’re a cow
 
 give me some milk
 
 or else go home”
 
 
 
 because something is happening here
 
 but you don’t know what it is
 
 do you, mister jones
 
 
 
 well, you walk into the room
 
 like a camel and then you frown
 
 you put your eyes in your pocket
 
 and your nose on the ground
 
 there ought to be a law
 
 against you comin’ around
 
 you should be made
 
 to wear earphones
 
 
 
 because something is happening here
 
 but you don’t know what it is
 
 do you, mister jones"
1965,Bringing It All Back Home,Outlaw Blues,"ain’t it hard to stumble
 
 and land in some funny lagoon
 
 ain’t it hard to stumble
 
 and land in some muddy lagoon
 
 especially when it’s nine below zero
 
 and three o’clock in the afternoon.
 
 
 
 ain’t gonna hang no picture
 
 ain’t gonna hang no picture frame
 
 ain’t gonna hang no picture
 
 ain’t gonna hang no picture frame
 
 well, i might look like robert ford
 
 but i feel just like a jesse james
 
 
 
 well, i wish i was on some
 
 australian mountain range
 
 oh, i wish i was on some
 
 australian mountain range
 
 i got no reason to be there, but i
 
 imagine it would be some kind of change
 
 
 
 i got my dark sunglasses
 
 i got for good luck my black tooth
 
 i got my dark sunglasses
 
 i’m carryin’ for good luck my black tooth
 
 don’t ask me nothin’ about nothin’
 
 i just might tell you the truth
 
 
 
 i got a woman in jackson
 
 i ain’t gonna say her name
 
 i got a woman in jackson
 
 i ain’t gonna say her name
 
 she’s a brown-skin woman, but i
 
 love her just the same"
1965,Bringing It All Back Home,Love Minus Zero/ No Limit,"my love she speaks like silence
 
 without ideals or violence
 
 she doesn’t have to say she’s faithful
 
 yet she’s true, like ice, like fire
 
 people carry roses
 
 make promises by the hours
 
 my love she laughs like the flowers
 
 valentines can’t buy her
 
 
 
 in the dime stores and bus stations
 
 people talk of situations
 
 read books, repeat quotations
 
 draw conclusions on the wall
 
 some speak of the future
 
 my love she speaks softly
 
 she knows there’s no success like failure
 
 and that failure’s no success at all
 
 
 
 the cloak and dagger dangles
 
 madams light the candles
 
 in ceremonies of the horsemen
 
 even the pawn must hold a grudge
 
 statues made of matchsticks
 
 crumble into one another
 
 my love winks, she does not bother
 
 she knows too much to argue or to judge
 
 
 
 the bridge at midnight trembles
 
 the country doctor rambles
 
 bankers’ nieces seek perfection
 
 expecting all the gifts that wise men bring
 
 the wind howls like a hammer
 
 the night blows cold and rainy
 
 my love she’s like some raven
 
 at my window with a broken wing"
1965,Bringing It All Back Home,She Belongs to Me,"she’s got everything she needs
 
 she’s an artist, she don’t look back
 
 she’s got everything she needs
 
 she’s an artist, she don’t look back
 
 she can take the dark out of the nighttime
 
 and paint the daytime black
 
 
 
 you will start out standing
 
 proud to steal her anything she sees
 
 you will start out standing
 
 proud to steal her anything she sees
 
 but you will wind up peeking through her keyhole
 
 down upon your knees
 
 
 
 she never stumbles
 
 she’s got no place to fall
 
 she never stumbles
 
 she’s got no place to fall
 
 she’s nobody’s child
 
 the law can’t touch her at all
 
 
 
 she wears an egyptian ring
 
 that sparkles before she speaks
 
 she wears an egyptian ring
 
 that sparkles before she speaks
 
 she’s a hypnotist collector
 
 you are a walking antique
 
 
 
 bow down to her on sunday
 
 salute her when her birthday comes
 
 bow down to her on sunday
 
 salute her when her birthday comes
 
 for halloween give her a trumpet
 
 and for christmas, buy her a drum"
